DATAFLOW,REF_AREA,COMMODITY,TRANSACTION,UNIT,TIME_PERIOD,OBS_VALUE,ESTIMATE,FOOTNOTES,UNIT_MULT
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,1990,3895.8,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,1991,3405.6,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,1992,4076.4,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,1993,3379.8,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,1994,2812.2000000000003,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,1995,3560.4,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,1996,3405.6,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,1997,2347.8,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,1998,1883.4,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,1999,1857.6000000000001,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,2000,1702.8,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,2001,1702.8,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,2002,2554.2000000000003,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,2003,2373.6,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,2004,2786.4,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,2005,3225,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,2006,4308.6,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,2007,3895.8,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,2008,3999,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,2009,3560.4,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,2010,6088.8,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,2011,9881.4,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,2012,8849.4,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,2013,9778.2,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,2014,12126,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,2015,12848.4,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,2016,12667.800000000001,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,2017,11945.4,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,2018,17879.4,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,2019,15789.6,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,2020,21207.600000000002,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,2021,24617.121600000002,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B02_03,HSO,2022,30139.56,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,1990,3895.8,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,1991,3405.6,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,1992,4076.4,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,1993,3379.8,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,1994,2812.2000000000003,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,1995,3560.4,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,1996,3405.6,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,1997,2347.8,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,1998,1883.4,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,1999,1857.6000000000001,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,2000,1702.8,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,2001,1702.8,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,2002,2554.2000000000003,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,2003,2373.6,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,2004,2786.4,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,2005,3225,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,2006,4308.6,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,2007,3895.8,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,2008,3999,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,2009,3560.4,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,2010,6088.8,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,2011,9881.4,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,2012,8849.4,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,2013,9778.2,N,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,2014,12126,Y,,0
UNSD:DF_UNData_EnergyBalance(1.0),404,B00_CL,B07_GA,HSO,2015,12848.4,N,,0
