Unnamed: 0,Household sample weight (6 decimals),Number of household members,Sample strata for sampling errors,Stratification used in sample design,Region,Type of place of residence,Electricity,Radio,Television,Refrigerator,Mobile telephone,Computer,Microwave,Wealth index combined,Wealth index for urban/rural,Wealth index factor score combined (5 decimals),Wealth index factor score for urban/rural (5 decimals),Energy Use
0,1306431,6,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richer,poorer,69205,-10591,317.5413360816619
1,1306431,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,richer,139961,80473,868.1273970294436
2,1306431,2,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,middle,104636,35009,738.1539678905639
3,1306431,8,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,richer,143472,84992,1285.200705092799
4,1306431,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,middle,105265,35819,868.1273970294436
5,1306431,4,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,middle,96455,24480,974.0
6,1306431,1,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,1,0,richer,poorer,63803,-17543,155.0742779245997
7,1306431,5,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richer,poorer,78357,1187,295.20775996468507
8,1306431,5,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,1,0,richest,middle,123717,59566,1064.934660020753
9,1306431,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,0,0,1,1,0,richer,poorer,88616,14391,513.4681646836746
10,1306431,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,richer,130812,68698,868.1273970294436
11,1306431,1,mombasa: urban,mombasa: urban,mombasa,1,0,1,0,0,0,0,0,middle,poorest,-20478,-126013,0.0
12,1306431,2,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richer,poorer,82555,6591,204.62173647890373
13,1306431,2,mombasa: urban,mombasa: urban,mombasa,1,1,0,0,0,1,0,0,middle,poorest,21392,-72127,174.30740514869578
14,1306431,4,mombasa: urban,mombasa: urban,mombasa,1,1,1,0,0,1,0,0,richest,middle,111120,43354,894.0
15,1306431,2,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,middle,120703,55688,738.1539678905639
16,1306431,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,0,0,1,1,0,richest,middle,113634,46590,796.8232987108036
17,1306431,5,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,1,0,richest,richer,151715,95601,1064.934660020753
18,1306431,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,middle,117880,52055,868.1273970294436
19,1306431,2,mombasa: urban,mombasa: urban,mombasa,1,1,0,0,1,1,0,0,richer,poorer,65476,-15390,174.30740514869578
20,1306431,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,middle,111978,44459,868.1273970294436
21,1306431,3,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richer,middle,93666,20891,240.65133182541047
22,1313052,5,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,middle,121522,56742,1064.934660020753
23,1313052,10,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,1,1,0,1,richest,richer,129193,66615,3448.052775118241
24,1313052,2,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,poorer,poorest,-61461,-178759,0.0
25,1313052,1,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,middle,poorest,-27477,-135022,0.0
26,1313052,5,mombasa: urban,mombasa: urban,mombasa,1,0,1,0,0,1,0,0,middle,poorest,17120,-77624,0.0
27,1313052,6,mombasa: urban,mombasa: urban,mombasa,1,0,0,0,0,1,0,0,middle,poorest,-20849,-126490,0.0
28,1313052,1,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richer,middle,95541,23304,155.0742779245997
29,1313052,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorer,59798,-22698,868.1273970294436
30,1313052,2,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,1,0,richest,middle,108408,39864,738.1539678905639
31,1313052,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,0,0,1,0,0,richer,poorer,57774,-25302,513.4681646836746
32,1313052,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorer,77356,-100,559.416098883556
33,1313052,2,mombasa: urban,mombasa: urban,mombasa,1,1,0,0,0,1,0,0,richer,poorer,63485,-17953,174.30740514869578
34,1313052,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,middle,124801,60962,559.416098883556
35,1313052,2,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,richer,132054,70297,738.1539678905639
36,1313052,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,1,0,richest,richer,150708,94304,559.416098883556
37,1313052,3,mombasa: urban,mombasa: urban,mombasa,1,1,0,1,0,1,0,0,richer,middle,90010,16186,240.65133182541047
38,1313052,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorer,80476,3915,559.416098883556
39,1313052,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,0,0,1,0,0,richer,poorer,84846,9540,513.4681646836746
40,1313052,2,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,1,0,richest,richer,128460,65671,738.1539678905639
41,1313052,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richest,richer,154460,99133,868.1273970294436
42,1313052,3,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorer,63725,-17643,868.1273970294436
43,1313052,1,mombasa: urban,mombasa: urban,mombasa,1,1,1,1,0,1,0,0,richer,poorer,88936,14803,559.416098883556
